Date,Time,HomeTeam,Score,AwayTeam,Week,Season
22/04/2021,17:00,Gil Vicente,0-3,FC Famalicão,J28,2020-2021
22/04/2021,15:00,CD Tondela,2-1,Nacional,J28,2020-2021
21/04/2021,21:15,Sporting,2-2,Belenenses SAD,J28,2020-2021
21/04/2021,19:00,SC Braga,2-1,Boavista,J28,2020-2021
21/04/2021,17:00,Marítimo,1-0,Rio Ave,J28,2020-2021
21/04/2021,15:30,Santa Clara,0-0,Moreirense,J28,2020-2021
20/04/2021,20:00,Paços de Ferreira,0-2,Farense,J28,2020-2021
18/04/2021,17:30,Nacional,0-1,FC Porto,J27,2020-2021
18/04/2021,15:00,FC Famalicão,0-1,Portimonense,J27,2020-2021
17/04/2021,20:30,Rio Ave,0-0,SC Braga,J27,2020-2021
17/04/2021,18:00,Benfica,1-2,Gil Vicente,J27,2020-2021
17/04/2021,18:00,Belenenses SAD,2-0,Marítimo,J27,2020-2021
17/04/2021,15:30,Vitória SC,1-0,Santa Clara,J27,2020-2021
17/04/2021,15:30,Moreirense,2-3,CD Tondela,J27,2020-2021
16/04/2021,21:00,Farense,0-1,Sporting,J27,2020-2021
16/04/2021,18:45,Boavista,2-0,Paços de Ferreira,J27,2020-2021
11/04/2021,20:00,Sporting,1-1,FC Famalicão,J26,2020-2021
11/04/2021,17:30,SC Braga,1-1,Belenenses SAD,J26,2020-2021
11/04/2021,15:30,Santa Clara,5-1,Nacional,J26,2020-2021
11/04/2021,15:00,Gil Vicente,1-2,Moreirense,J26,2020-2021
10/04/2021,20:30,Paços de Ferreira,0-5,Benfica,J26,2020-2021
10/04/2021,18:00,CD Tondela,0-2,FC Porto,J26,2020-2021
10/04/2021,15:30,Boavista,3-3,Rio Ave,J26,2020-2021
10/04/2021,15:00,Marítimo,1-0,Farense,J26,2020-2021
09/04/2021,20:00,Portimonense,3-0,Vitória SC,J26,2020-2021
05/04/2021,21:00,Moreirense,1-1,Sporting,J25,2020-2021
05/04/2021,19:00,Benfica,1-0,Marítimo,J25,2020-2021
05/04/2021,18:45,Farense,1-2,SC Braga,J25,2020-2021
04/04/2021,20:00,FC Famalicão,2-0,Paços de Ferreira,J25,2020-2021
04/04/2021,17:30,Vitória SC,1-2,CD Tondela,J25,2020-2021
04/04/2021,15:00,Belenenses SAD,0-2,Boavista,J25,2020-2021
03/04/2021,20:30,FC Porto,2-1,Santa Clara,J25,2020-2021
03/04/2021,18:00,Rio Ave,0-2,Gil Vicente,J25,2020-2021
02/04/2021,20:30,Nacional,1-5,Portimonense,J25,2020-2021
21/03/2021,20:00,SC Braga,0-2,Benfica,J24,2020-2021
21/03/2021,17:30,Marítimo,0-4,FC Famalicão,J24,2020-2021
21/03/2021,17:30,Boavista,0-1,Farense,J24,2020-2021
21/03/2021,15:00,Rio Ave,0-0,Belenenses SAD,J24,2020-2021
20/03/2021,20:30,Sporting,1-0,Vitória SC,J24,2020-2021
20/03/2021,18:00,Portimonense,1-2,FC Porto,J24,2020-2021
20/03/2021,15:30,Santa Clara,1-1,CD Tondela,J24,2020-2021
20/03/2021,15:30,Paços de Ferreira,3-0,Moreirense,J24,2020-2021
19/03/2021,20:30,Gil Vicente,2-0,Nacional,J24,2020-2021
15/03/2021,20:15,FC Famalicão,2-2,SC Braga,J23,2020-2021
14/03/2021,20:00,FC Porto,2-0,Paços de Ferreira,J23,2020-2021
14/03/2021,17:30,Vitória SC,2-4,Gil Vicente,J23,2020-2021
14/03/2021,15:00,Moreirense,1-1,Rio Ave,J23,2020-2021
13/03/2021,20:30,CD Tondela,0-1,Sporting,J23,2020-2021
13/03/2021,18:00,Santa Clara,2-0,Portimonense,J23,2020-2021
13/03/2021,18:00,Benfica,2-0,Boavista,J23,2020-2021
13/03/2021,15:30,Farense,0-1,Belenenses SAD,J23,2020-2021
12/03/2021,20:30,Nacional,1-2,Marítimo,J23,2020-2021
09/03/2021,21:45,SC Braga,3-0,Vitória SC,J22,2020-2021
08/03/2021,20:15,Belenenses SAD,0-3,Benfica,J22,2020-2021
07/03/2021,20:00,Rio Ave,2-0,Farense,J22,2020-2021
07/03/2021,17:30,Marítimo,0-2,Moreirense,J22,2020-2021
06/03/2021,20:30,Boavista,3-0,FC Famalicão,J22,2020-2021
06/03/2021,18:00,Gil Vicente,0-2,FC Porto,J22,2020-2021
06/03/2021,15:30,Portimonense,3-0,CD Tondela,J22,2020-2021
05/03/2021,20:45,Sporting,2-1,Santa Clara,J22,2020-2021
05/03/2021,18:30,Paços de Ferreira,2-1,Nacional,J22,2020-2021
01/03/2021,20:15,Moreirense,2-2,Belenenses SAD,J21,2020-2021
01/03/2021,19:00,Benfica,2-0,Rio Ave,J21,2020-2021
28/02/2021,20:00,Nacional,1-2,SC Braga,J21,2020-2021
28/02/2021,17:30,CD Tondela,1-0,Gil Vicente,J21,2020-2021
28/02/2021,15:00,Portimonense,0-0,Marítimo,J21,2020-2021
27/02/2021,20:30,FC Porto,0-0,Sporting,J21,2020-2021
27/02/2021,18:00,Santa Clara,3-0,Paços de Ferreira,J21,2020-2021
27/02/2021,15:30,FC Famalicão,0-0,Farense,J21,2020-2021
26/02/2021,20:30,Vitória SC,2-1,Boavista,J21,2020-2021
22/02/2021,19:00,Marítimo,1-2,FC Porto,J20,2020-2021
21/02/2021,20:15,Farense,0-0,Benfica,J20,2020-2021
21/02/2021,18:00,SC Braga,4-2,CD Tondela,J20,2020-2021
21/02/2021,15:00,Rio Ave,0-1,FC Famalicão,J20,2020-2021
21/02/2021,15:00,Paços de Ferreira,2-1,Vitória SC,J20,2020-2021
20/02/2021,20:30,Sporting,2-0,Portimonense,J20,2020-2021
20/02/2021,17:30,Gil Vicente,1-0,Santa Clara,J20,2020-2021
20/02/2021,15:30,Belenenses SAD,2-1,Nacional,J20,2020-2021
19/02/2021,20:30,Boavista,1-0,Moreirense,J20,2020-2021
17/02/2021,21:45,Vitória SC,2-2,Farense,J14,2020-2021
16/02/2021,17:45,CD Tondela,2-1,Marítimo,J19,2020-2021
15/02/2021,20:15,Sporting,2-0,Paços de Ferreira,J19,2020-2021
14/02/2021,20:15,Moreirense,1-1,Benfica,J19,2020-2021
14/02/2021,17:30,Santa Clara,0-1,SC Braga,J19,2020-2021
14/02/2021,15:00,Portimonense,4-1,Gil Vicente,J19,2020-2021
13/02/2021,20:30,FC Porto,2-2,Boavista,J19,2020-2021
13/02/2021,18:00,Vitória SC,1-3,Rio Ave,J19,2020-2021
13/02/2021,15:30,Nacional,2-3,Farense,J19,2020-2021
12/02/2021,20:30,FC Famalicão,0-0,Belenenses SAD,J19,2020-2021
09/02/2021,21:00,Gil Vicente,1-2,Sporting,J18,2020-2021
09/02/2021,19:00,Boavista,0-1,Nacional,J18,2020-2021
09/02/2021,17:00,Rio Ave,2-1,CD Tondela,J18,2020-2021
09/02/2021,15:00,Paços de Ferreira,0-0,Portimonense,J18,2020-2021
08/02/2021,21:00,Belenenses SAD,1-1,Vitória SC,J18,2020-2021
08/02/2021,19:00,Marítimo,1-2,Santa Clara,J18,2020-2021
08/02/2021,19:00,Benfica,2-0,FC Famalicão,J18,2020-2021
08/02/2021,17:00,Farense,1-2,Moreirense,J18,2020-2021
07/02/2021,20:45,SC Braga,2-2,FC Porto,J18,2020-2021
05/02/2021,21:00,Paços de Ferreira,2-1,CD Tondela,J17,2020-2021
05/02/2021,21:00,Boavista,1-2,Gil Vicente,J17,2020-2021
05/02/2021,19:00,Marítimo,0-2,Sporting,J17,2020-2021
05/02/2021,19:00,Benfica,0-0,Vitória SC,J17,2020-2021
05/02/2021,17:00,Rio Ave,0-0,Nacional,J17,2020-2021
04/02/2021,21:30,FC Famalicão,0-2,Moreirense,J17,2020-2021
04/02/2021,21:00,SC Braga,2-1,Portimonense,J17,2020-2021
04/02/2021,19:00,Belenenses SAD,0-0,FC Porto,J17,2020-2021
04/02/2021,15:00,Farense,1-1,Santa Clara,J17,2020-2021
02/02/2021,20:15,Gil Vicente,1-2,Paços de Ferreira,J16,2020-2021
01/02/2021,21:30,Sporting,1-0,Benfica,J16,2020-2021
01/02/2021,19:45,Moreirense,0-4,SC Braga,J16,2020-2021
01/02/2021,19:00,FC Porto,2-0,Rio Ave,J16,2020-2021
01/02/2021,17:00,Santa Clara,2-0,Belenenses SAD,J16,2020-2021
31/01/2021,15:00,Vitória SC,1-0,Marítimo,J16,2020-2021
30/01/2021,20:30,Portimonense,1-2,Boavista,J16,2020-2021
30/01/2021,18:00,CD Tondela,2-0,Farense,J16,2020-2021
30/01/2021,15:30,Nacional,2-1,FC Famalicão,J16,2020-2021
26/01/2021,21:15,Boavista,0-2,Sporting,J15,2020-2021
26/01/2021,19:45,SC Braga,1-0,Gil Vicente,J15,2020-2021
25/01/2021,20:15,Farense,0-1,FC Porto,J15,2020-2021
25/01/2021,17:00,Benfica,1-1,Nacional,J15,2020-2021
25/01/2021,16:30,Rio Ave,1-2,Santa Clara,J15,2020-2021
25/01/2021,14:30,Belenenses SAD,2-0,CD Tondela,J15,2020-2021
24/01/2021,20:15,FC Famalicão,0-1,Vitória SC,J15,2020-2021
24/01/2021,17:30,Moreirense,2-2,Portimonense,J15,2020-2021
24/01/2021,15:00,Marítimo,0-3,Paços de Ferreira,J15,2020-2021
21/01/2021,20:15,Vitória SC,3-1,Nacional,J12,2020-2021
18/01/2021,20:15,Portimonense,1-0,Belenenses SAD,J14,2020-2021
17/01/2021,20:00,Gil Vicente,0-1,Marítimo,J14,2020-2021
17/01/2021,17:30,Santa Clara,1-2,FC Famalicão,J14,2020-2021
17/01/2021,15:00,Nacional,0-1,Moreirense,J14,2020-2021
16/01/2021,20:30,CD Tondela,3-1,Boavista,J14,2020-2021
16/01/2021,15:30,Paços de Ferreira,2-0,SC Braga,J14,2020-2021
15/01/2021,21:00,FC Porto,1-1,Benfica,J14,2020-2021
15/01/2021,18:30,Sporting,1-1,Rio Ave,J14,2020-2021
10/01/2021,20:00,Belenenses SAD,0-2,Paços de Ferreira,J13,2020-2021
10/01/2021,15:00,Farense,3-1,Gil Vicente,J13,2020-2021
09/01/2021,20:30,Boavista,1-1,Santa Clara,J13,2020-2021
09/01/2021,17:00,Moreirense,2-2,Vitória SC,J13,2020-2021
08/01/2021,21:00,FC Famalicão,1-4,FC Porto,J13,2020-2021
08/01/2021,19:00,Rio Ave,3-0,Portimonense,J13,2020-2021
08/01/2021,19:00,Benfica,2-0,CD Tondela,J13,2020-2021
08/01/2021,18:00,Nacional,0-2,Sporting,J13,2020-2021
07/01/2021,21:00,SC Braga,2-1,Marítimo,J13,2020-2021
04/01/2021,21:15,Portimonense,2-0,Farense,J12,2020-2021
04/01/2021,19:00,Gil Vicente,0-0,Belenenses SAD,J12,2020-2021
04/01/2021,17:00,Santa Clara,1-1,Benfica,J12,2020-2021
03/01/2021,21:00,FC Porto,3-0,Moreirense,J12,2020-2021
03/01/2021,19:00,Paços de Ferreira,2-0,Rio Ave,J12,2020-2021
03/01/2021,15:00,Marítimo,0-0,Boavista,J12,2020-2021
03/01/2021,13:00,CD Tondela,1-0,FC Famalicão,J12,2020-2021
02/01/2021,18:00,Sporting,2-0,SC Braga,J12,2020-2021
29/12/2020,21:00,Vitória SC,2-3,FC Porto,J11,2020-2021
29/12/2020,18:45,Moreirense,1-0,Santa Clara,J11,2020-2021
29/12/2020,18:00,Benfica,2-1,Portimonense,J11,2020-2021
28/12/2020,21:00,Boavista,1-4,SC Braga,J11,2020-2021
28/12/2020,18:45,Rio Ave,1-3,Marítimo,J11,2020-2021
27/12/2020,20:00,Belenenses SAD,1-2,Sporting,J11,2020-2021
27/12/2020,17:30,Farense,1-1,Paços de Ferreira,J11,2020-2021
27/12/2020,15:00,Nacional,2-0,CD Tondela,J11,2020-2021
27/12/2020,15:00,FC Famalicão,0-1,Gil Vicente,J11,2020-2021
22/12/2020,20:15,SC Braga,3-0,Rio Ave,J10,2020-2021
21/12/2020,20:15,Santa Clara,0-4,Vitória SC,J10,2020-2021
20/12/2020,20:00,FC Porto,2-0,Nacional,J10,2020-2021
20/12/2020,17:30,Gil Vicente,0-2,Benfica,J10,2020-2021
20/12/2020,15:00,Paços de Ferreira,1-1,Boavista,J10,2020-2021
19/12/2020,20:30,Sporting,1-0,Farense,J10,2020-2021
19/12/2020,18:00,CD Tondela,0-0,Moreirense,J10,2020-2021
19/12/2020,15:00,Marítimo,1-0,Belenenses SAD,J10,2020-2021
18/12/2020,20:30,Portimonense,0-0,FC Famalicão,J10,2020-2021
07/12/2020,20:15,Farense,2-1,Marítimo,J9,2020-2021
06/12/2020,20:00,Benfica,2-1,Paços de Ferreira,J9,2020-2021
06/12/2020,20:00,Belenenses SAD,2-1,SC Braga,J9,2020-2021
06/12/2020,17:30,Rio Ave,0-0,Boavista,J9,2020-2021
06/12/2020,15:00,Nacional,1-3,Santa Clara,J9,2020-2021
05/12/2020,20:30,FC Porto,4-3,CD Tondela,J9,2020-2021
05/12/2020,18:00,FC Famalicão,2-2,Sporting,J9,2020-2021
05/12/2020,15:30,Vitória SC,1-0,Portimonense,J9,2020-2021
05/12/2020,15:30,Moreirense,1-1,Gil Vicente,J9,2020-2021
01/12/2020,21:45,Moreirense,0-1,Paços de Ferreira,J7,2020-2021
30/11/2020,19:00,Marítimo,1-2,Benfica,J8,2020-2021
29/11/2020,20:00,SC Braga,1-0,Farense,J8,2020-2021
29/11/2020,17:30,Boavista,0-0,Belenenses SAD,J8,2020-2021
29/11/2020,15:00,Portimonense,1-0,Nacional,J8,2020-2021
29/11/2020,15:00,Gil Vicente,2-0,Rio Ave,J8,2020-2021
28/11/2020,20:30,Sporting,2-1,Moreirense,J8,2020-2021
28/11/2020,18:00,Santa Clara,0-1,FC Porto,J8,2020-2021
27/11/2020,21:00,CD Tondela,0-2,Vitória SC,J8,2020-2021
27/11/2020,19:00,Paços de Ferreira,2-0,FC Famalicão,J8,2020-2021
08/11/2020,20:00,Benfica,2-3,SC Braga,J7,2020-2021
08/11/2020,17:30,FC Porto,3-1,Portimonense,J7,2020-2021
08/11/2020,15:00,Nacional,2-1,Gil Vicente,J7,2020-2021
08/11/2020,15:00,Farense,3-1,Boavista,J7,2020-2021
07/11/2020,20:30,Vitória SC,0-4,Sporting,J7,2020-2021
07/11/2020,18:00,FC Famalicão,2-1,Marítimo,J7,2020-2021
07/11/2020,15:00,CD Tondela,2-0,Santa Clara,J7,2020-2021
06/11/2020,20:30,Belenenses SAD,0-0,Rio Ave,J7,2020-2021
02/11/2020,21:00,Boavista,3-0,Benfica,J6,2020-2021
02/11/2020,18:45,SC Braga,1-0,FC Famalicão,J6,2020-2021
01/11/2020,20:00,Sporting,4-0,CD Tondela,J6,2020-2021
01/11/2020,17:30,Gil Vicente,1-2,Vitória SC,J6,2020-2021
01/11/2020,15:00,Portimonense,1-2,Santa Clara,J6,2020-2021
31/10/2020,20:30,Marítimo,0-0,Nacional,J6,2020-2021
31/10/2020,18:00,Rio Ave,2-0,Moreirense,J6,2020-2021
31/10/2020,15:30,Belenenses SAD,1-1,Farense,J6,2020-2021
30/10/2020,20:30,Paços de Ferreira,3-2,FC Porto,J6,2020-2021
28/10/2020,21:45,Sporting,3-1,Gil Vicente,J1,2020-2021
26/10/2020,20:15,Benfica,2-0,Belenenses SAD,J5,2020-2021
25/10/2020,20:00,Vitória SC,0-1,SC Braga,J5,2020-2021
25/10/2020,17:30,FC Famalicão,2-2,Boavista,J5,2020-2021
25/10/2020,15:00,Moreirense,2-1,Marítimo,J5,2020-2021
25/10/2020,15:00,Farense,0-1,Rio Ave,J5,2020-2021
24/10/2020,20:30,FC Porto,1-0,Gil Vicente,J5,2020-2021
24/10/2020,18:00,Santa Clara,1-2,Sporting,J5,2020-2021
24/10/2020,15:30,Nacional,1-1,Paços de Ferreira,J5,2020-2021
23/10/2020,20:30,CD Tondela,1-0,Portimonense,J5,2020-2021
19/10/2020,20:15,Boavista,0-1,Vitória SC,J4,2020-2021
18/10/2020,20:00,Rio Ave,0-3,Benfica,J4,2020-2021
18/10/2020,17:30,Farense,3-3,FC Famalicão,J4,2020-2021
18/10/2020,15:00,Paços de Ferreira,2-1,Santa Clara,J4,2020-2021
18/10/2020,15:00,Belenenses SAD,0-0,Moreirense,J4,2020-2021
17/10/2020,20:30,Sporting,2-2,FC Porto,J4,2020-2021
17/10/2020,18:00,SC Braga,2-1,Nacional,J4,2020-2021
17/10/2020,15:30,Marítimo,1-2,Portimonense,J4,2020-2021
17/10/2020,15:30,Gil Vicente,1-1,CD Tondela,J4,2020-2021
04/10/2020,21:00,Portimonense,0-2,Sporting,J3,2020-2021
04/10/2020,18:30,FC Famalicão,1-1,Rio Ave,J3,2020-2021
04/10/2020,18:30,Benfica,3-2,Farense,J3,2020-2021
04/10/2020,15:30,Nacional,0-0,Belenenses SAD,J3,2020-2021
03/10/2020,21:00,CD Tondela,0-4,SC Braga,J3,2020-2021
03/10/2020,18:30,FC Porto,2-3,Marítimo,J3,2020-2021
03/10/2020,16:00,Santa Clara,0-0,Gil Vicente,J3,2020-2021
02/10/2020,21:15,Vitória SC,1-0,Paços de Ferreira,J3,2020-2021
02/10/2020,19:00,Moreirense,1-1,Boavista,J3,2020-2021
28/09/2020,19:45,Belenenses SAD,1-2,FC Famalicão,J2,2020-2021
27/09/2020,21:00,Rio Ave,0-0,Vitória SC,J2,2020-2021
27/09/2020,18:30,Paços de Ferreira,0-2,Sporting,J2,2020-2021
27/09/2020,16:00,Gil Vicente,1-0,Portimonense,J2,2020-2021
27/09/2020,15:30,Farense,0-1,Nacional,J2,2020-2021
26/09/2020,21:00,Boavista,0-5,FC Porto,J2,2020-2021
26/09/2020,18:30,Benfica,2-0,Moreirense,J2,2020-2021
26/09/2020,15:30,Marítimo,2-1,CD Tondela,J2,2020-2021
25/09/2020,20:30,SC Braga,0-1,Santa Clara,J2,2020-2021
21/09/2020,19:45,Portimonense,1-1,Paços de Ferreira,J1,2020-2021
20/09/2020,21:00,CD Tondela,1-1,Rio Ave,J1,2020-2021
20/09/2020,18:30,Moreirense,2-0,Farense,J1,2020-2021
20/09/2020,16:00,Santa Clara,2-0,Marítimo,J1,2020-2021
19/09/2020,21:00,FC Porto,3-1,SC Braga,J1,2020-2021
19/09/2020,16:00,Nacional,3-3,Boavista,J1,2020-2021
18/09/2020,21:15,Vitória SC,0-1,Belenenses SAD,J1,2020-2021
18/09/2020,19:00,FC Famalicão,1-5,Benfica,J1,2020-2021
26/07/2020,19:30,Vitória FC,2-0,B SAD,J34,2019-2020
26/07/2020,19:30,Portimonense,2-0,CD Aves,J34,2019-2020
26/07/2020,19:30,Moreirense,1-2,CD Tondela,J34,2019-2020
25/07/2020,21:15,SC Braga,2-1,FC Porto,J34,2019-2020
25/07/2020,21:15,Benfica,2-1,Sporting,J34,2019-2020
25/07/2020,19:00,Marítimo,3-3,FC Famalicão,J34,2019-2020
25/07/2020,19:00,Boavista,0-2,Rio Ave,J34,2019-2020
24/07/2020,21:15,Gil Vicente,3-3,Paços de Ferreira,J34,2019-2020
24/07/2020,19:00,Santa Clara,2-2,Vitória SC,J34,2019-2020
21/07/2020,21:15,CD Aves,0-4,Benfica,J33,2019-2020
21/07/2020,19:00,Sporting,0-0,Vitória FC,J33,2019-2020
20/07/2020,21:15,FC Porto,6-1,Moreirense,J33,2019-2020
20/07/2020,19:15,CD Tondela,1-0,SC Braga,J33,2019-2020
20/07/2020,17:00,Paços de Ferreira,2-1,Portimonense,J33,2019-2020
19/07/2020,21:15,Vitória SC,1-0,Marítimo,J33,2019-2020
19/07/2020,19:00,Belenenses SAD,1-0,Gil Vicente,J33,2019-2020
18/07/2020,21:15,FC Famalicão,2-2,Boavista,J33,2019-2020
18/07/2020,19:00,Rio Ave,2-2,Santa Clara,J33,2019-2020
15/07/2020,21:30,FC Porto,2-0,Sporting,J32,2019-2020
15/07/2020,19:15,SC Braga,1-1,Belenenses SAD,J32,2019-2020
15/07/2020,17:00,Moreirense,1-1,Paços de Ferreira,J32,2019-2020
14/07/2020,21:30,Gil Vicente,3-2,CD Tondela,J32,2019-2020
14/07/2020,21:30,Benfica,2-0,Vitória SC,J32,2019-2020
14/07/2020,19:15,Portimonense,2-1,Boavista,J32,2019-2020
14/07/2020,17:00,Santa Clara,3-0,CD Aves,J32,2019-2020
13/07/2020,21:15,Vitória FC,1-2,FC Famalicão,J32,2019-2020
13/07/2020,19:00,Marítimo,0-0,Rio Ave,J32,2019-2020
11/07/2020,19:15,Belenenses SAD,0-1,Moreirense,J31,2019-2020
10/07/2020,21:30,Paços de Ferreira,1-5,SC Braga,J31,2019-2020
10/07/2020,19:15,Sporting,1-0,Santa Clara,J31,2019-2020
10/07/2020,17:00,Vitória SC,1-2,Gil Vicente,J31,2019-2020
09/07/2020,21:30,FC Famalicão,1-1,Benfica,J31,2019-2020
09/07/2020,19:15,CD Tondela,1-3,FC Porto,J31,2019-2020
09/07/2020,17:00,Rio Ave,2-1,Portimonense,J31,2019-2020
08/07/2020,21:15,CD Aves,1-0,Vitória FC,J31,2019-2020
08/07/2020,19:00,Boavista,0-1,Marítimo,J31,2019-2020
06/07/2020,21:00,Moreirense,0-0,Sporting,J30,2019-2020
05/07/2020,21:30,FC Porto,5-0,Belenenses SAD,J30,2019-2020
05/07/2020,19:15,CD Tondela,0-1,FC Famalicão,J30,2019-2020
05/07/2020,17:00,Gil Vicente,1-0,Rio Ave,J30,2019-2020
04/07/2020,21:30,SC Braga,4-0,CD Aves,J30,2019-2020
04/07/2020,21:15,Benfica,3-1,Boavista,J30,2019-2020
04/07/2020,19:15,Portimonense,0-1,Vitória SC,J30,2019-2020
04/07/2020,17:00,Vitória FC,2-3,Paços de Ferreira,J30,2019-2020
03/07/2020,19:15,Santa Clara,0-1,Marítimo,J30,2019-2020
01/07/2020,21:15,Sporting,2-1,Gil Vicente,J29,2019-2020
01/07/2020,19:00,Belenenses SAD,1-1,CD Tondela,J29,2019-2020
30/06/2020,21:30,Rio Ave,4-3,SC Braga,J29,2019-2020
30/06/2020,19:15,Vitória SC,2-0,Vitória FC,J29,2019-2020
30/06/2020,17:00,FC Famalicão,0-1,Portimonense,J29,2019-2020
29/06/2020,21:15,Paços de Ferreira,0-1,FC Porto,J29,2019-2020
29/06/2020,18:00,Marítimo,2-0,Benfica,J29,2019-2020
29/06/2020,17:00,CD Aves,0-1,Moreirense,J29,2019-2020
28/06/2020,21:00,Boavista,1-0,Santa Clara,J29,2019-2020
26/06/2020,19:15,Belenenses SAD,1-3,Sporting,J28,2019-2020
25/06/2020,21:00,SC Braga,3-2,Vitória SC,J28,2019-2020
24/06/2020,21:15,Moreirense,1-1,FC Famalicão,J28,2019-2020
24/06/2020,19:00,CD Tondela,1-3,Paços de Ferreira,J28,2019-2020
23/06/2020,21:15,FC Porto,4-0,Boavista,J28,2019-2020
23/06/2020,19:15,Benfica,3-4,Santa Clara,J28,2019-2020
23/06/2020,19:00,Vitória FC,1-2,Rio Ave,J28,2019-2020
22/06/2020,21:00,Portimonense,3-2,Marítimo,J28,2019-2020
21/06/2020,21:00,Gil Vicente,3-0,CD Aves,J28,2019-2020
19/06/2020,21:15,FC Famalicão,0-0,SC Braga,J27,2019-2020
19/06/2020,19:00,Vitória SC,1-1,Moreirense,J27,2019-2020
18/06/2020,21:15,Sporting,2-0,CD Tondela,J27,2019-2020
18/06/2020,19:00,Boavista,3-1,Vitória FC,J27,2019-2020
17/06/2020,21:15,Rio Ave,1-2,Benfica,J27,2019-2020
17/06/2020,19:00,Paços de Ferreira,2-1,Belenenses SAD,J27,2019-2020
16/06/2020,21:15,CD Aves,0-0,FC Porto,J27,2019-2020
16/06/2020,19:00,Santa Clara,1-1,Portimonense,J27,2019-2020
15/06/2020,19:00,Marítimo,2-1,Gil Vicente,J27,2019-2020
13/06/2020,21:00,SC Braga,0-1,Boavista,J26,2019-2020
12/06/2020,21:15,Sporting,1-0,Paços de Ferreira,J26,2019-2020
12/06/2020,19:00,Moreirense,0-1,Rio Ave,J26,2019-2020
11/06/2020,21:15,CD Tondela,2-0,CD Aves,J26,2019-2020
11/06/2020,19:00,Belenenses SAD,1-1,Vitória SC,J26,2019-2020
10/06/2020,21:30,FC Porto,1-0,Marítimo,J26,2019-2020
10/06/2020,19:15,Portimonense,2-2,Benfica,J26,2019-2020
10/06/2020,17:00,Vitória FC,2-2,Santa Clara,J26,2019-2020
09/06/2020,21:00,Gil Vicente,1-3,FC Famalicão,J26,2019-2020
07/06/2020,21:00,Rio Ave,2-3,Paços de Ferreira,J25,2019-2020
06/06/2020,21:15,Boavista,0-1,Moreirense,J25,2019-2020
05/06/2020,21:15,CD Aves,0-2,Belenenses SAD,J25,2019-2020
05/06/2020,19:00,Santa Clara,3-2,SC Braga,J25,2019-2020
04/06/2020,21:15,Vitória SC,2-2,Sporting,J25,2019-2020
04/06/2020,19:15,Benfica,0-0,CD Tondela,J25,2019-2020
04/06/2020,18:00,Marítimo,1-1,Vitória FC,J25,2019-2020
03/06/2020,21:15,FC Famalicão,2-1,FC Porto,J25,2019-2020
03/06/2020,19:00,Portimonense,1-0,Gil Vicente,J25,2019-2020
08/03/2020,20:00,Paços de Ferreira,1-2,Vitória SC,J24,2019-2020
08/03/2020,17:30,Sporting,2-0,CD Aves,J24,2019-2020
08/03/2020,17:00,Gil Vicente,1-1,Santa Clara,J24,2019-2020
08/03/2020,15:00,Moreirense,2-0,Marítimo,J24,2019-2020
08/03/2020,15:00,Belenenses SAD,0-0,FC Famalicão,J24,2019-2020
07/03/2020,20:30,FC Porto,1-1,Rio Ave,J24,2019-2020
07/03/2020,18:00,Vitória FC,1-1,Benfica,J24,2019-2020
07/03/2020,15:30,CD Tondela,1-1,Boavista,J24,2019-2020
06/03/2020,20:30,SC Braga,3-1,Portimonense,J24,2019-2020
03/03/2020,20:00,FC Famalicão,3-1,Sporting,J23,2019-2020
02/03/2020,20:45,Benfica,1-1,Moreirense,J23,2019-2020
02/03/2020,19:30,Santa Clara,0-2,FC Porto,J23,2019-2020
01/03/2020,20:00,Vitória SC,2-0,CD Tondela,J23,2019-2020
01/03/2020,17:30,Marítimo,1-2,SC Braga,J23,2019-2020
01/03/2020,15:00,CD Aves,1-3,Paços de Ferreira,J23,2019-2020
29/02/2020,20:30,Boavista,0-1,Gil Vicente,J23,2019-2020
29/02/2020,18:00,Rio Ave,0-0,Belenenses SAD,J23,2019-2020
28/02/2020,20:30,Portimonense,0-0,Vitória FC,J23,2019-2020
24/02/2020,19:30,Gil Vicente,0-1,Benfica,J22,2019-2020
23/02/2020,20:30,FC Porto,1-0,Portimonense,J22,2019-2020
23/02/2020,20:00,SC Braga,3-1,Vitória FC,J22,2019-2020
23/02/2020,17:30,Sporting,2-0,Boavista,J22,2019-2020
23/02/2020,15:00,Paços de Ferreira,2-1,FC Famalicão,J22,2019-2020
23/02/2020,15:00,Moreirense,2-1,Santa Clara,J22,2019-2020
22/02/2020,20:30,Belenenses SAD,1-0,Marítimo,J22,2019-2020
22/02/2020,18:00,CD Tondela,1-2,Rio Ave,J22,2019-2020
21/02/2020,20:30,CD Aves,0-2,Vitória SC,J22,2019-2020
16/02/2020,20:00,FC Famalicão,1-1,CD Aves,J21,2019-2020
16/02/2020,17:30,Vitória SC,1-2,FC Porto,J21,2019-2020
16/02/2020,15:00,Marítimo,3-0,Paços de Ferreira,J21,2019-2020
16/02/2020,15:00,Boavista,1-2,Belenenses SAD,J21,2019-2020
15/02/2020,20:30,Rio Ave,1-1,Sporting,J21,2019-2020
15/02/2020,18:00,Benfica,0-1,SC Braga,J21,2019-2020
15/02/2020,15:30,Santa Clara,1-0,CD Tondela,J21,2019-2020
15/02/2020,15:30,Portimonense,1-1,Moreirense,J21,2019-2020
14/02/2020,20:30,Vitória FC,1-2,Gil Vicente,J21,2019-2020
